연소발생월,연소발생일,Item_No,Cell종류,Cell OH시점,P_151,P_152,P_153,P_154,P_155,P_156,P_157,P_158,P_159,P_160,P_161,P_162,P_163,P_164,P_165,P_166,P_167,P_168,P_169,P_170,P_171,P_172,P_173,P_174,P_175
4월,2021-04-01 8:46,I-AC,Monel,,,,,,,,1,,,,3,,,,,3,,,,,,,,,
4월,2021-04-01 6:45,G-P,Monel,,,,2,,,,,,,,,,,3,,,,,,,,,,,3
4월,2021-04-02 17:31,I-AC,Monel,2021-04-10 0:00,,,,,,,,,,,,,,,,1,,,,,,,,,
4월,2021-04-02 21:55,J-F,Monel,2021-04-07 0:00,,,,,,,,,,,,,,,,,,,,,,,,1,
4월,2021-04-03 18:14,H-W,Monel,,,,,,,,,1,,,,,,,,,,,,,,,,,
4월,2021-04-06 6:50,J-J,Monel,,,,,,,,,,,1,,,,,,,,,,,,,,,
4월,2021-04-07 19:12,J-AA,Monel,2021-04-09 0:00,,,,,,,,,,,,,,,,,,,,,,1,,,
4월,2021-04-07 19:21,J-J,Monel,2021-04-09 0:00,,,,1,,,,,,,,,,,,,,,,,,,,,
4월,2021-04-09 8:06,H-M,Monel,2021-04-10 0:00,,,,,,,,1,,,,,,,,,,,,,,,,,
4월,2021-04-09 23:02,I-U,Monel,,,1,,,,,,,,,,,,,,,,,,,,,,,
4월,2021-04-10 21:06,I-U,Monel,2021-04-15 0:00,,,,,,,,,,,,,,1,,,,,,,,,,,
4월,2021-04-12 16:16,I-Q,Monel,,,,,1,,,,,,,,,,,,,,,,,,,,,H
4월,2021-04-12 22:44,J-L,Monel,2021-04-15 0:00,,,,1,,,,,,,,,,,,,,,,,,,,,
4월,2021-04-13 14:13,H-M,Monel,,,3,,,,,1,,,,,,,,3,,,,,,,,,,
4월,2021-04-13 18:22,I-N,Monel,,,,,,,,,,,,,,,,,,,,,,,,1,,
4월,2021-04-14 17:50,I-N,Monel,,,,,,,,,,,,,,,,,,,,,,,,,,
